NC_006583.3 chr1
NW_003726382.1 chrUn_AAEX03020427
NW_003726385.1 chrUn_AAEX03020436
NW_003726392.1 chrUn_AAEX03020482
NW_003726395.1 chrUn_AAEX03020487
NW_003726398.1 chrUn_AAEX03020497
NW_003726404.1 chrUn_AAEX03020524
NW_003726405.1 chrUn_AAEX03020525
NW_003726408.1 chrUn_AAEX03020533
NW_003726412.1 chrUn_AAEX03020568
NW_003726415.1 chrUn_AAEX03020574
NW_003726418.1 chrUn_AAEX03020588
NW_003726421.1 chrUn_AAEX03020610
NW_003726427.1 chrUn_AAEX03020671
NW_003726433.1 chrUn_AAEX03020700
NW_003726434.1 chrUn_AAEX03020701
NW_003726440.1 chrUn_AAEX03020729
NW_003726448.1 chrUn_AAEX03020760
NW_003726449.1 chrUn_AAEX03020761
NW_003726459.1 chrUn_AAEX03020831
NW_003726462.1 chrUn_AAEX03020839
NW_003726463.1 chrUn_AAEX03020840
NW_003726472.1 chrUn_AAEX03020896
NW_003726475.1 chrUn_AAEX03020910
NW_003726478.1 chrUn_AAEX03020926
NW_003726481.1 chrUn_AAEX03020959
NW_003726483.1 chrUn_AAEX03020963
NW_003726487.1 chrUn_AAEX03020982
NW_003726488.1 chrUn_AAEX03020983
NW_003726496.1 chrUn_AAEX03021041
NW_003726497.1 chrUn_AAEX03021042
NW_003726498.1 chrUn_AAEX03021043
NW_003726499.1 chrUn_AAEX03021044
NW_003726505.1 chrUn_AAEX03021070
NW_003726506.1 chrUn_AAEX03021071
NW_003726508.1 chrUn_AAEX03021077
NW_003726511.1 chrUn_AAEX03021094
NW_003726514.1 chrUn_AAEX03021108
NW_003726520.1 chrUn_AAEX03021139
NW_003726529.1 chrUn_AAEX03021187
NW_003726531.1 chrUn_AAEX03021193
NW_003726534.1 chrUn_AAEX03021208
NW_003726539.1 chrUn_AAEX03021227
NW_003726547.1 chrUn_AAEX03021268
NW_003726549.1 chrUn_AAEX03021281
NW_003726550.1 chrUn_AAEX03021282
NW_003726554.1 chrUn_AAEX03021317
NW_003726555.1 chrUn_AAEX03021318
NW_003726559.1 chrUn_AAEX03021345
NW_003726564.1 chrUn_AAEX03021372
NW_003726573.1 chrUn_AAEX03021408
NW_003726579.1 chrUn_AAEX03021437
NW_003726584.1 chrUn_AAEX03021458
NW_003726586.1 chrUn_AAEX03021463
NW_003726592.1 chrUn_AAEX03021489
NW_003726595.1 chrUn_AAEX03021504
NW_003726597.1 chrUn_AAEX03021513
NW_003726602.1 chrUn_AAEX03021540
NW_003726607.1 chrUn_AAEX03021579
NW_003726613.1 chrUn_AAEX03021599
NW_003726618.1 chrUn_AAEX03021648
NW_003726619.1 chrUn_AAEX03021649
NW_003726621.1 chrUn_AAEX03021660
NW_003726627.1 chrUn_AAEX03021682
NW_003726632.1 chrUn_AAEX03021701
NW_003726636.1 chrUn_AAEX03021719
NW_003726641.1 chrUn_AAEX03021736
NW_003726642.1 chrUn_AAEX03021737
NW_003726646.1 chrUn_AAEX03021761
NW_003726650.1 chrUn_AAEX03021790
NW_003726653.1 chrUn_AAEX03021800
NW_003726655.1 chrUn_AAEX03021807
NW_003726659.1 chrUn_AAEX03021822
NW_003726662.1 chrUn_AAEX03021841
NW_003726663.1 chrUn_AAEX03021842
NW_003726665.1 chrUn_AAEX03021849
NW_003726667.1 chrUn_AAEX03021853
NW_003726668.1 chrUn_AAEX03021854
NW_003726673.1 chrUn_AAEX03021871
NW_003726682.1 chrUn_AAEX03021919
NW_003726686.1 chrUn_AAEX03021932
NW_003726693.1 chrUn_AAEX03021979
NW_003726694.1 chrUn_AAEX03021980
NW_003726695.1 chrUn_AAEX03021981
NW_003726701.1 chrUn_AAEX03022003
NW_003726706.1 chrUn_AAEX03022020
NW_003726709.1 chrUn_AAEX03022030
NW_003726710.1 chrUn_AAEX03022031
NW_003726711.1 chrUn_AAEX03022032
NW_003726712.1 chrUn_AAEX03022033
NW_003726715.1 chrUn_AAEX03022043
NW_003726716.1 chrUn_AAEX03022044
NW_003726719.1 chrUn_AAEX03022057
NW_003726721.1 chrUn_AAEX03022060
NW_003726722.1 chrUn_AAEX03022061
NW_003726723.1 chrUn_AAEX03022062
NW_003726724.1 chrUn_AAEX03022063
NW_003726726.1 chrUn_AAEX03022069
NW_003726728.1 chrUn_AAEX03022081
NW_003726729.1 chrUn_AAEX03022082
NW_003726730.1 chrUn_AAEX03022083
NW_003726734.1 chrUn_AAEX03022093
NW_003726741.1 chrUn_AAEX03022122
NW_003726742.1 chrUn_AAEX03022123
NW_003726746.1 chrUn_AAEX03022139
NW_003726747.1 chrUn_AAEX03022140
NW_003726748.1 chrUn_AAEX03022141
NW_003726751.1 chrUn_AAEX03022149
NW_003726754.1 chrUn_AAEX03022156
NW_003726755.1 chrUn_AAEX03022157
NW_003726758.1 chrUn_AAEX03022171
NW_003726762.1 chrUn_AAEX03022189
NW_003726764.1 chrUn_AAEX03022193
NW_003726765.1 chrUn_AAEX03022194
NW_003726766.1 chrUn_AAEX03022195
NW_003726768.1 chrUn_AAEX03022202
NW_003726769.1 chrUn_AAEX03022203
NW_003726770.1 chrUn_AAEX03022204
NW_003726772.1 chrUn_AAEX03022211
NW_003726773.1 chrUn_AAEX03022212
NW_003726774.1 chrUn_AAEX03022213
NW_003726776.1 chrUn_AAEX03022216
NW_003726778.1 chrUn_AAEX03022223
NW_003726782.1 chrUn_AAEX03022239
NW_003726783.1 chrUn_AAEX03022240
NW_003726784.1 chrUn_AAEX03022241
NW_003726785.1 chrUn_AAEX03022242
NW_003726786.1 chrUn_AAEX03022243
NW_003726787.1 chrUn_AAEX03022244
NW_003726790.1 chrUn_AAEX03022256
NW_003726792.1 chrUn_AAEX03022262
NW_003726796.1 chrUn_AAEX03022277
NW_003726799.1 chrUn_AAEX03022291
NW_003726802.1 chrUn_AAEX03022299
NW_003726803.1 chrUn_AAEX03022300
NW_003726804.1 chrUn_AAEX03022301
NW_003726808.1 chrUn_AAEX03022317
NW_003726812.1 chrUn_AAEX03022329
NW_003726814.1 chrUn_AAEX03022332
NW_003726818.1 chrUn_AAEX03022348
NW_003726820.1 chrUn_AAEX03022357
NW_003726821.1 chrUn_AAEX03022358
NW_003726822.1 chrUn_AAEX03022359
NW_003726824.1 chrUn_AAEX03022368
NW_003726826.1 chrUn_AAEX03022378
NW_003726828.1 chrUn_AAEX03022381
NW_003726830.1 chrUn_AAEX03022384
NW_003726832.1 chrUn_AAEX03022390
NW_003726833.1 chrUn_AAEX03022391
NW_003726834.1 chrUn_AAEX03022392
NW_003726836.1 chrUn_AAEX03022395
NW_003726841.1 chrUn_AAEX03022415
NW_003726847.1 chrUn_AAEX03022441
NW_003726848.1 chrUn_AAEX03022442
NW_003726850.1 chrUn_AAEX03022448
NW_003726852.1 chrUn_AAEX03022456
NW_003726856.1 chrUn_AAEX03022474
NW_003726857.1 chrUn_AAEX03022475
NW_003726858.1 chrUn_AAEX03022476
NW_003726859.1 chrUn_AAEX03022477
NW_003726862.1 chrUn_AAEX03022483
NW_003726865.1 chrUn_AAEX03022489
NW_003726869.1 chrUn_AAEX03022496
NW_003726880.1 chrUn_AAEX03022555
NW_003726886.1 chrUn_AAEX03022578
NW_003726887.1 chrUn_AAEX03022579
NW_003726889.1 chrUn_AAEX03022582
NW_003726891.1 chrUn_AAEX03022592
NW_003726895.1 chrUn_AAEX03022606
NW_003726901.1 chrUn_AAEX03022624
NW_003726903.1 chrUn_AAEX03022630
NW_003726907.1 chrUn_AAEX03022651
NW_003726909.1 chrUn_AAEX03022659
NW_003726918.1 chrUn_AAEX03022691
NW_003726919.1 chrUn_AAEX03022692
NW_003726923.1 chrUn_AAEX03022706
NW_003726924.1 chrUn_AAEX03022707
NW_003726927.1 chrUn_AAEX03022712
NW_003726928.1 chrUn_AAEX03022713
NW_003726932.1 chrUn_AAEX03022724
NW_003726935.1 chrUn_AAEX03022735
NW_003726937.1 chrUn_AAEX03022738
NW_003726938.1 chrUn_AAEX03022739
NW_003726939.1 chrUn_AAEX03022740
NW_003726940.1 chrUn_AAEX03022741
NW_003726941.1 chrUn_AAEX03022742
NW_003726942.1 chrUn_AAEX03022743
NW_003726943.1 chrUn_AAEX03022744
NW_003726944.1 chrUn_AAEX03022745
NW_003726947.1 chrUn_AAEX03022754
NW_003726948.1 chrUn_AAEX03022755
NW_003726949.1 chrUn_AAEX03022756
NW_003726951.1 chrUn_AAEX03022759
NW_003726952.1 chrUn_AAEX03022760
NW_003726953.1 chrUn_AAEX03022761
NW_003726955.1 chrUn_AAEX03022764
NW_003726959.1 chrUn_AAEX03022777
NW_003726960.1 chrUn_AAEX03022778
NW_003726962.1 chrUn_AAEX03022785
NW_003726963.1 chrUn_AAEX03022786
NW_003726964.1 chrUn_AAEX03022787
NW_003726965.1 chrUn_AAEX03022788
NW_003726971.1 chrUn_AAEX03022814
NW_003726973.1 chrUn_AAEX03022820
NW_003726974.1 chrUn_AAEX03022821
NW_003726975.1 chrUn_AAEX03022822
NW_003726980.1 chrUn_AAEX03022848
NW_003726981.1 chrUn_AAEX03022849
NW_003726983.1 chrUn_AAEX03022858
NW_003726985.1 chrUn_AAEX03022862
NW_003726986.1 chrUn_AAEX03022863
NW_003726988.1 chrUn_AAEX03022866
NW_003726992.1 chrUn_AAEX03022877
NW_003726993.1 chrUn_AAEX03022878
NW_003726996.1 chrUn_AAEX03022890
NW_003726999.1 chrUn_AAEX03022898
NW_003727002.1 chrUn_AAEX03022907
NW_003727003.1 chrUn_AAEX03022908
NW_003727004.1 chrUn_AAEX03022909
NW_003727006.1 chrUn_AAEX03022915
NW_003727011.1 chrUn_AAEX03022941
NW_003727013.1 chrUn_AAEX03022944
NW_003727014.1 chrUn_AAEX03022945
NW_003727021.1 chrUn_AAEX03022980
NW_003727022.1 chrUn_AAEX03022981
NW_003727024.1 chrUn_AAEX03022987
NW_003727027.1 chrUn_AAEX03022992
NW_003727028.1 chrUn_AAEX03022993
NW_003727029.1 chrUn_AAEX03022994
NW_003727031.1 chrUn_AAEX03023002
NW_003727034.1 chrUn_AAEX03023007
NW_003727038.1 chrUn_AAEX03023018
NW_003727039.1 chrUn_AAEX03023019
NW_003727042.1 chrUn_AAEX03023030
NW_003727045.1 chrUn_AAEX03023045
NW_003727047.1 chrUn_AAEX03023050
NW_003727050.1 chrUn_AAEX03023059
NW_003727051.1 chrUn_AAEX03023060
NW_003727057.1 chrUn_AAEX03023077
NW_003727058.1 chrUn_AAEX03023078
NW_003727060.1 chrUn_AAEX03023081
NW_003727061.1 chrUn_AAEX03023082
NW_003727062.1 chrUn_AAEX03023083
NW_003727066.1 chrUn_AAEX03023097
NW_003727069.1 chrUn_AAEX03023107
NW_003727070.1 chrUn_AAEX03023108
NW_003727071.1 chrUn_AAEX03023109
NW_003727072.1 chrUn_AAEX03023110
NW_003727074.1 chrUn_AAEX03023113
NW_003727075.1 chrUn_AAEX03023114
NW_003727076.1 chrUn_AAEX03023115
NW_003727079.1 chrUn_AAEX03023128
NW_003727081.1 chrUn_AAEX03023136
NW_003727087.1 chrUn_AAEX03023156
NW_003727089.1 chrUn_AAEX03023161
NW_003727091.1 chrUn_AAEX03023169
NW_003727093.1 chrUn_AAEX03023172
NW_003727094.1 chrUn_AAEX03023173
NW_003727096.1 chrUn_AAEX03023177
NW_003727098.1 chrUn_AAEX03023183
NW_003727103.1 chrUn_AAEX03023200
NW_003727104.1 chrUn_AAEX03023201
NW_003727107.1 chrUn_AAEX03023211
NW_003727108.1 chrUn_AAEX03023212
NW_003727109.1 chrUn_AAEX03023213
NW_003727114.1 chrUn_AAEX03023229
NW_003727116.1 chrUn_AAEX03023233
NW_003727117.1 chrUn_AAEX03023234
NW_003727119.1 chrUn_AAEX03023240
NW_003727122.1 chrUn_AAEX03023249
NW_003727123.1 chrUn_AAEX03023250
NW_003727127.1 chrUn_AAEX03023257
NW_003727128.1 chrUn_AAEX03023258
NW_003727133.1 chrUn_AAEX03023275
NW_003727134.1 chrUn_AAEX03023276
NW_003727138.1 chrUn_AAEX03023286
NW_003727140.1 chrUn_AAEX03023291
NW_003727148.1 chrUn_AAEX03023315
NW_003727151.1 chrUn_AAEX03023322
NW_003727152.1 chrUn_AAEX03023323
NW_003727153.1 chrUn_AAEX03023324
NW_003727154.1 chrUn_AAEX03023325
NW_003727161.1 chrUn_AAEX03023347
NW_003727163.1 chrUn_AAEX03023355
NW_003727164.1 chrUn_AAEX03023356
NW_003727165.1 chrUn_AAEX03023357
NW_003727166.1 chrUn_AAEX03023358
NW_003727168.1 chrUn_AAEX03023365
NW_003727169.1 chrUn_AAEX03023366
NW_003727170.1 chrUn_AAEX03023367
NW_003727173.1 chrUn_AAEX03023372
NW_003727174.1 chrUn_AAEX03023373
NW_003727175.1 chrUn_AAEX03023374
NW_003727177.1 chrUn_AAEX03023381
NW_003727178.1 chrUn_AAEX03023382
NW_003727180.1 chrUn_AAEX03023386
NW_003727183.1 chrUn_AAEX03023391
NW_003727184.1 chrUn_AAEX03023392
NW_003727186.1 chrUn_AAEX03023395
NW_003727187.1 chrUn_AAEX03023396
NW_003727190.1 chrUn_AAEX03023402
NW_003727196.1 chrUn_AAEX03023424
NW_003727197.1 chrUn_AAEX03023425
NW_003727198.1 chrUn_AAEX03023426
NW_003727200.1 chrUn_AAEX03023431
NW_003727202.1 chrUn_AAEX03023434
NW_003727203.1 chrUn_AAEX03023435
NW_003727204.1 chrUn_AAEX03023436
NW_003727205.1 chrUn_AAEX03023437
NW_003727208.1 chrUn_AAEX03023448
NW_003727209.1 chrUn_AAEX03023449
NW_003727210.1 chrUn_AAEX03023450
NW_003727211.1 chrUn_AAEX03023451
NW_003727212.1 chrUn_AAEX03023452
NW_003727213.1 chrUn_AAEX03023453
NW_003727215.1 chrUn_AAEX03023460
NW_003727218.1 chrUn_AAEX03023468
NW_003727220.1 chrUn_AAEX03023475
NW_003727221.1 chrUn_AAEX03023476
NW_003727224.1 chrUn_AAEX03023484
NW_003727225.1 chrUn_AAEX03023485
NW_003727227.1 chrUn_AAEX03023488
NW_003727229.1 chrUn_AAEX03023492
NW_003727230.1 chrUn_AAEX03023493
NW_003727231.1 chrUn_AAEX03023494
NW_003727234.1 chrUn_AAEX03023504
NW_003727235.1 chrUn_AAEX03023505
NW_003727236.1 chrUn_AAEX03023506
NW_003727237.1 chrUn_AAEX03023507
NW_003727238.1 chrUn_AAEX03023508
NW_003727239.1 chrUn_AAEX03023509
NW_003727241.1 chrUn_AAEX03023514
NW_003727243.1 chrUn_AAEX03023518
NW_003727244.1 chrUn_AAEX03023519
NW_003727245.1 chrUn_AAEX03023520
NW_003727246.1 chrUn_AAEX03023521
NW_003727247.1 chrUn_AAEX03023522
NW_003727248.1 chrUn_AAEX03023523
NW_003727249.1 chrUn_AAEX03023524
NW_003727251.1 chrUn_AAEX03023529
NW_003727253.1 chrUn_AAEX03023534
NW_003727254.1 chrUn_AAEX03023535
NW_003727255.1 chrUn_AAEX03023536
NW_003727256.1 chrUn_AAEX03023537
NW_003727257.1 chrUn_AAEX03023538
NW_003727259.1 chrUn_AAEX03023542
NW_003727264.1 chrUn_AAEX03023556
NW_003727265.1 chrUn_AAEX03023557
NW_003727266.1 chrUn_AAEX03023558
NW_003727267.1 chrUn_AAEX03023559
NW_003727268.1 chrUn_AAEX03023560
NW_003727270.1 chrUn_AAEX03023563
NW_003727272.1 chrUn_AAEX03023566
NW_003727274.1 chrUn_AAEX03023572
NW_003727275.1 chrUn_AAEX03023573
NW_003727277.1 chrUn_AAEX03023576
NW_003727279.1 chrUn_AAEX03023581
NW_003727280.1 chrUn_AAEX03023582
NW_003727282.1 chrUn_AAEX03023586
NW_003727283.1 chrUn_AAEX03023587
NW_003727285.1 chrUn_AAEX03023593
NW_003727286.1 chrUn_AAEX03023594
NW_003727292.1 chrUn_AAEX03023614
NW_003727293.1 chrUn_AAEX03023615
NW_003727294.1 chrUn_AAEX03023616
NW_003727295.1 chrUn_AAEX03023617
NW_003727296.1 chrUn_AAEX03023618
NW_003727299.1 chrUn_AAEX03023624
NW_003727301.1 chrUn_AAEX03023627
NW_003727302.1 chrUn_AAEX03023628
NW_003727303.1 chrUn_AAEX03023629
NW_003727307.1 chrUn_AAEX03023639
NW_003727308.1 chrUn_AAEX03023640
NW_003727309.1 chrUn_AAEX03023641
NW_003727310.1 chrUn_AAEX03023642
NW_003727311.1 chrUn_AAEX03023643
NW_003727312.1 chrUn_AAEX03023644
NW_003727313.1 chrUn_AAEX03023645
NW_003727314.1 chrUn_AAEX03023646
NW_003727315.1 chrUn_AAEX03023647
NW_003727316.1 chrUn_AAEX03023648
NW_003727318.1 chrUn_AAEX03023651
NW_003727319.1 chrUn_AAEX03023652
NW_003727322.1 chrUn_AAEX03023663
NW_003727323.1 chrUn_AAEX03023664
NW_003727324.1 chrUn_AAEX03023665
NW_003727326.1 chrUn_AAEX03023671
NW_003727328.1 chrUn_AAEX03023677
NW_003727330.1 chrUn_AAEX03023681
NW_003727332.1 chrUn_AAEX03023686
NW_003727334.1 chrUn_AAEX03023691
NW_003727335.1 chrUn_AAEX03023692
NW_003727336.1 chrUn_AAEX03023693
NW_003727337.1 chrUn_AAEX03023694
NW_003727338.1 chrUn_AAEX03023695
NW_003727339.1 chrUn_AAEX03023696
NW_003727341.1 chrUn_AAEX03023701
NW_003727342.1 chrUn_AAEX03023702
NW_003727344.1 chrUn_AAEX03023708
NW_003727350.1 chrUn_AAEX03023724
NW_003727351.1 chrUn_AAEX03023725
NW_003727352.1 chrUn_AAEX03023726
NW_003727354.1 chrUn_AAEX03023732
NW_003727356.1 chrUn_AAEX03023735
NW_003727357.1 chrUn_AAEX03023736
NW_003727358.1 chrUn_AAEX03023737
NW_003727359.1 chrUn_AAEX03023738
NW_003727361.1 chrUn_AAEX03023741
NW_003727362.1 chrUn_AAEX03023742
NW_003727363.1 chrUn_AAEX03023743
NW_003727364.1 chrUn_AAEX03023744
NW_003727365.1 chrUn_AAEX03023745
NW_003727368.1 chrUn_AAEX03023754
NW_003727369.1 chrUn_AAEX03023755
NW_003727370.1 chrUn_AAEX03023756
NW_003727371.1 chrUn_AAEX03023757
NW_003727372.1 chrUn_AAEX03023758
NW_003727373.1 chrUn_AAEX03023759
NW_003727374.1 chrUn_AAEX03023760
NW_003727375.1 chrUn_AAEX03023761
NW_003727376.1 chrUn_AAEX03023762
NW_003727377.1 chrUn_AAEX03023763
NW_003727378.1 chrUn_AAEX03023764
NW_003727379.1 chrUn_AAEX03023765
NW_003727380.1 chrUn_AAEX03023766
NW_003727381.1 chrUn_AAEX03023767
NW_003727382.1 chrUn_AAEX03023768
NW_003727383.1 chrUn_AAEX03023769
NW_003727384.1 chrUn_AAEX03023770
NW_003727385.1 chrUn_AAEX03023771
NW_003727386.1 chrUn_AAEX03023772
NW_003727387.1 chrUn_AAEX03023773
NW_003727389.1 chrUn_AAEX03023776
NW_003727390.1 chrUn_AAEX03023777
NW_003727391.1 chrUn_AAEX03023778
NW_003727392.1 chrUn_AAEX03023779
NW_003727394.1 chrUn_AAEX03023782
NW_003727395.1 chrUn_AAEX03023783
NW_003727396.1 chrUn_AAEX03023784
NW_003727397.1 chrUn_AAEX03023785
NW_003727398.1 chrUn_AAEX03023786
NW_003727399.1 chrUn_AAEX03023787
NW_003727400.1 chrUn_AAEX03023788
NW_003727402.1 chrUn_AAEX03023794
NW_003727407.1 chrUn_AAEX03023808
NW_003727408.1 chrUn_AAEX03023809
NW_003727409.1 chrUn_AAEX03023810
NW_003727410.1 chrUn_AAEX03023811
NW_003727411.1 chrUn_AAEX03023812
NW_003727412.1 chrUn_AAEX03023813
NW_003727415.1 chrUn_AAEX03023822
NW_003727416.1 chrUn_AAEX03023823
NW_003727417.1 chrUn_AAEX03023824
NW_003727418.1 chrUn_AAEX03023825
NW_003727419.1 chrUn_AAEX03023826
NW_003727420.1 chrUn_AAEX03023827
NW_003727421.1 chrUn_AAEX03023828
NW_003727422.1 chrUn_AAEX03023829
NW_003727423.1 chrUn_AAEX03023830
NW_003727424.1 chrUn_AAEX03023831
NW_003727425.1 chrUn_AAEX03023832
NW_003727427.1 chrUn_AAEX03023836
NW_003727428.1 chrUn_AAEX03023837
NW_003727430.1 chrUn_AAEX03023840
NW_003727431.1 chrUn_AAEX03023841
NW_003727432.1 chrUn_AAEX03023842
NW_003727434.1 chrUn_AAEX03023847
NW_003727435.1 chrUn_AAEX03023848
NW_003727436.1 chrUn_AAEX03023849
NW_003727437.1 chrUn_AAEX03023850
NW_003727439.1 chrUn_AAEX03023856
NW_003727440.1 chrUn_AAEX03023857
NW_003727441.1 chrUn_AAEX03023858
NW_003727442.1 chrUn_AAEX03023859
NW_003727444.1 chrUn_AAEX03023864
NW_003727447.1 chrUn_AAEX03023872
NW_003727448.1 chrUn_AAEX03023873
NW_003727449.1 chrUn_AAEX03023874
NW_003727452.1 chrUn_AAEX03023881
NW_003727453.1 chrUn_AAEX03023882
NW_003727454.1 chrUn_AAEX03023883
NW_003727455.1 chrUn_AAEX03023884
NW_003727456.1 chrUn_AAEX03023885
NW_003727457.1 chrUn_AAEX03023886
NW_003727458.1 chrUn_AAEX03023887
NW_003727459.1 chrUn_AAEX03023888
NW_003727460.1 chrUn_AAEX03023889
NW_003727462.1 chrUn_AAEX03023892
NW_003727465.1 chrUn_AAEX03023900
NW_003727466.1 chrUn_AAEX03023901
NW_003727471.1 chrUn_AAEX03023913
NW_003727474.1 chrUn_AAEX03023920
NW_003727475.1 chrUn_AAEX03023921
NW_003727476.1 chrUn_AAEX03023922
NW_003727477.1 chrUn_AAEX03023923
NW_003727478.1 chrUn_AAEX03023924
NW_003727479.1 chrUn_AAEX03023925
NW_003727480.1 chrUn_AAEX03023926
NW_003727481.1 chrUn_AAEX03023927
NW_003727482.1 chrUn_AAEX03023928
NW_003727483.1 chrUn_AAEX03023929
NW_003727485.1 chrUn_AAEX03023933
NW_003727486.1 chrUn_AAEX03023934
NW_003727487.1 chrUn_AAEX03023935
NW_003727489.1 chrUn_AAEX03023940
NW_003727491.1 chrUn_AAEX03023945
NW_003727493.1 chrUn_AAEX03023950
NW_003727494.1 chrUn_AAEX03023951
NW_003727495.1 chrUn_AAEX03023952
NW_003727498.1 chrUn_AAEX03023960
NW_003727501.1 chrUn_AAEX03023968
NW_003727502.1 chrUn_AAEX03023969
NW_003727503.1 chrUn_AAEX03023970
NW_003727504.1 chrUn_AAEX03023971
NW_003727506.1 chrUn_AAEX03023976
NW_003727508.1 chrUn_AAEX03023980
NW_003727511.1 chrUn_AAEX03023987
NW_003727512.1 chrUn_AAEX03023988
NW_003727513.1 chrUn_AAEX03023989
NW_003727514.1 chrUn_AAEX03023990
NW_003727516.1 chrUn_AAEX03023995
NW_003727518.1 chrUn_AAEX03023999
NW_003727519.1 chrUn_AAEX03024000
NW_003727521.1 chrUn_AAEX03024005
NW_003727522.1 chrUn_AAEX03024006
NW_003727524.1 chrUn_AAEX03024011
NW_003727525.1 chrUn_AAEX03024012
NW_003727526.1 chrUn_AAEX03024013
NW_003727527.1 chrUn_AAEX03024014
NW_003727528.1 chrUn_AAEX03024015
NW_003727529.1 chrUn_AAEX03024016
NW_003727531.1 chrUn_AAEX03024020
NW_003727532.1 chrUn_AAEX03024021
NW_003727533.1 chrUn_AAEX03024022
NW_003727535.1 chrUn_AAEX03024029
NW_003727537.1 chrUn_AAEX03024034
NW_003727538.1 chrUn_AAEX03024035
NW_003727539.1 chrUn_AAEX03024036
NW_003727541.1 chrUn_AAEX03024040
NW_003727542.1 chrUn_AAEX03024041
NW_003727543.1 chrUn_AAEX03024042
NW_003727544.1 chrUn_AAEX03024043
NW_003727546.1 chrUn_AAEX03024049
NW_003727547.1 chrUn_AAEX03024050
NW_003727548.1 chrUn_AAEX03024051
NW_003727549.1 chrUn_AAEX03024052
NW_003727552.1 chrUn_AAEX03024061
NW_003727553.1 chrUn_AAEX03024062
NW_003727554.1 chrUn_AAEX03024063
NW_003727555.1 chrUn_AAEX03024064
NW_003727556.1 chrUn_AAEX03024065
NW_003727558.1 chrUn_AAEX03024070
NW_003727559.1 chrUn_AAEX03024071
NW_003727560.1 chrUn_AAEX03024072
NW_003727561.1 chrUn_AAEX03024073
NW_003727562.1 chrUn_AAEX03024074
NW_003727563.1 chrUn_AAEX03024075
NW_003727564.1 chrUn_AAEX03024076
NW_003727565.1 chrUn_AAEX03024077
NW_003727567.1 chrUn_AAEX03024083
NW_003727568.1 chrUn_AAEX03024084
NW_003727570.1 chrUn_AAEX03024088
NW_003727571.1 chrUn_AAEX03024089
NW_003727573.1 chrUn_AAEX03024092
NW_003727574.1 chrUn_AAEX03024093
NW_003727575.1 chrUn_AAEX03024094
NW_003727576.1 chrUn_AAEX03024095
NW_003727577.1 chrUn_AAEX03024096
NW_003727578.1 chrUn_AAEX03024097
NW_003727580.1 chrUn_AAEX03024100
NW_003727581.1 chrUn_AAEX03024101
NW_003727583.1 chrUn_AAEX03024106
NW_003727584.1 chrUn_AAEX03024107
NW_003727585.1 chrUn_AAEX03024108
